est_id,est_nombre
,A
,AA
,AB
,AC
,AD
,AE
,AF
,AG
,AH
,AI
,AJ
,AK
,AL
,ALMACEN 
,ALMACEN DE PLANTA
,ALMACÉN
,AM
,AN
,AO
,AP
,ATRÁS DE ESTANTE DE MOTOREDUCTORES
,AUN COSTADO DE MALLAS UF
,B
,C
,CAJA DE INOXIDABLE
,CON REDUCTOR DE PRENSA L2
,CUARTO DE LIMPIEZA
,D
,E
,EN LA ENTRADA 
,ENTRADA
,ENTRADA DE LA BODEGA
,ENTRADA DE LA BODEGA MANO IZQUIERDA 
,ESTANTE DE PLACAS
,F
,G
,H
,I
,J
,JUNTO ALA BARDA A UN COSTADO DE LAS FLECAHAS DE LA UF
,K
,L
,M
,N
,O
,P
,Q
,R
,R-106
,R-121
,R-124
,R-136
,R-214
,R-219
,R-7
,R-77
,R-78
,RACK DE TUBERIA
,RACK TUBERIA
,RECUPERABLES
,S
,T
,V
,W
,X
,Y
,Z
